6,7,6,7,6,4,11,1.25,3.0,42.2,0.88,0.95
3,3,5,5,6,1,4,1.2,0.33,90.8,0.94,1.08
8,7,6,7,7,3,4,1.05,0.0,34.4,1.22,0.88
5,7,6,7,7,6,9,1.02,0.0,68.5,0.93,0.91
5,5,6,8,8,6,5,1.4,2.5,49.8,0.92,1.1
5,6,8,7,7,6,5,1.08,0.0,71.2,0.79,0.87
4,4,5,6,6,4,5,1.3,0.75,108.0,0.88,1.11
5,6,8,8,7,6,6,1.28,0.0,63.8,0.89,1.07
6,8,10,10,10,8,5,1.07,2.5,62.4,1.14,0.91
4,5,6,7,7,4,13,0.89,1.0,86.0,1.0,0.91
5,7,7,6,8,6,2,1.05,0.0,58.6,1.02,1.06
4,5,6,7,6,5,7,0.85,0.0,41.4,1.09,0.87
3,7,7,6,7,4,5,1.11,1.0,56.8,1.04,0.82
6,7,7,7,8,7,9,0.95,0.89,49.0,0.98,0.88
6,6,6,7,7,5,2,0.74,2.0,55.6,1.12,0.94
8,8,8,9,10,5,5,1.12,0.0,31.4,1.05,1.02
4,4,5,6,7,5,4,1.14,0.0,65.2,1.17,0.95
7,9,9,10,9,7,5,1.06,0.33,42.2,1.14,0.78
5,6,6,7,8,7,5,0.88,0.0,44.0,1.18,0.84
6,7,6,6,6,5,15,0.77,2.5,79.6,1.06,0.98
4,5,4,5,6,5,15,1.11,0.5,39.4,1.12,0.79
3,5,5,5,5,3,10,1.35,1.52,112.6,0.82,0.93
8,7,7,8,10,5,17,0.91,0.0,65.0,0.94,0.97
6,7,7,8,8,4,6,0.94,1.0,41.8,1.03,1.12
6,5,7,6,7,4,9,0.87,0.71,117.8,0.87,1.05
5,7,9,8,8,7,11,0.82,1.0,66.0,0.64,1.08
3,6,7,7,6,5,5,1.45,2.5,55.6,1.01,1.22
5,6,9,10,10,6,14,1.03,0.0,30.6,0.88,0.99
7,8,8,8,9,5,9,1.02,0.0,39.8,0.95,0.85
4,5,7,7,8,5,3,1.13,0.0,68.0,0.9,1.19
7,9,9,10,10,6,11,0.98,2.5,36.0,0.94,1.14
6,7,6,6,8,0,4,0.73,0.0,43.2,0.86,1.18
3,4,3,5,4,4,3,2.18,1.0,165.0,0.35,0.97
5,6,6,9,9,5,10,1.13,0.0,38.6,0.98,1.17
7,10,10,10,10,4,15,1.02,1.0,58.8,0.92,1.02
7,7,8,10,8,8,6,1.06,0.0,44.4,1.1,0.9
5,8,8,9,10,8,14,1.13,1.0,39.0,1.08,0.97
4,5,6,6,5,4,9,0.83,0.0,38.6,1.1,0.8
5,4,4,5,4,3,1,1.13,1.2,69.8,0.9,1.1
4,4,5,7,8,0,1,1.11,0.0,54.2,0.8,0.9
6,8,8,8,8,7,1,1.07,1.5,40.2,0.9,1.6
4,7,8,7,7,7,2,1.02,1.5,44.0,0.68,1.25
6,7,9,8,8,8,1,0.83,0.33,51.8,1.06,1.27
7,8,8,9,9,5,1,1.03,0.0,42.6,1.08,0.99
7,8,9,10,10,7,1,1.19,0.0,46.4,0.86,0.97
5,7,8,7,7,5,8,0.97,1.0,42.2,0.99,0.97
5,7,8,8,8,6,13,0.89,0.0,64.8,0.63,0.6
6,8,8,10,9,5,25,1.05,1.33,33.4,0.89,0.87
4,4,7,7,7,6,16,1.09,0.0,67.2,0.95,1.07
6,8,10,10,10,8,19,0.61,0.0,44.0,0.95,1.16
3,5,4,5,7,4,7,0.55,0.63,140.2,1.18,1.15
4,7,8,8,10,8,12,1.05,0.0,38.6,0.75,0.96
3,5,3,7,6,5,5,0.52,3.0,48.4,1.16,0.95
7,10,9,9,9,7,15,0.49,0.67,45.2,1.04,0.84
3,4,5,4,5,5,5,0.8,2.2,100.2,1.1,1.02
3,4,8,5,5,2,14,1.07,1.5,69.4,1.15,0.94
4,4,4,5,6,2,2,0.67,1.18,55.2,0.76,1.32
5,6,7,8,7,5,8,0.51,0.0,49.2,0.93,0.91
6,7,8,8,10,9,20,1.02,0.83,40.0,1.05,1.12
4,5,8,7,7,6,9,1.4,2.0,72.8,1.01,1.12
6,6,6,7,7,7,6,0.55,0.8,62.2,0.8,1.05
3,7,7,7,8,4,2,0.98,7.0,86.0,0.9,1.03
6,8,10,8,8,8,9,1.04,1.0,39.0,1.08,0.9
6,7,8,7,10,8,9,1.1,1.0,53.2,0.92,1.26
5,6,7,7,8,5,12,1.2,0.0,55.2,0.99,0.98
3,6,6,7,7,3,10,1.3,0.6,130.0,1.17,0.91
4,5,6,8,6,7,10,1.14,0.0,37.6,1.11,0.88
7,9,8,7,8,1,12,1.21,0.43,34.6,1.01,0.98
5,6,6,7,7,4,3,1.2,0.0,149.0,0.85,1.17
5,6,7,9,9,8,14,0.94,0.0,66.2,1.01,1.03
5,5,6,7,5,5,9,1.27,2.0,37.0,0.95,0.89
7,8,9,8,8,7,12,0.75,0.0,51.2,0.92,1.15
4,6,6,6,6,2,14,0.59,0.33,32.4,0.96,1.17
3,4,5,5,7,5,12,0.96,0.0,39.6,0.98,1.11
7,8,9,10,10,9,8,1.08,1.65,63.8,0.89,1.03
