-1.0907,-1.7345,1.8787,2.5759,4.3962
3.2347,5.1627,2.5125,2.3305,2.4966
1.4089,1.6853,3.579,3.3826,3.7958
0.564,0.8108,3.9525,3.222,4.6453
-2.5051,-2.9682,-1.8946,4.615,8.0885
-0.8954,-2.3966,8.1147,3.5904,4.3608
2.0503,3.018,4.6111,3.0748,4.8538
1.346,2.3228,6.035,1.1407,-0.1053
0.651,0.8346,1.6557,3.0762,4.4242
-0.5094,-2.5976,4.0222,2.2801,2.6608
-0.4963,0.9086,4.0123,3.1221,3.2953
-0.2041,0.0541,2.2845,3.8206,4.6994
1.5249,0.7112,-6.5268,2.3786,2.0843
4.4398,3.9595,3.9786,2.3908,2.5744
-1.5635,-3.6951,-0.1561,1.0426,1.8874
0.9007,1.7836,0.7886,3.2308,4.0366
1.0324,0.7275,4.1922,3.2383,6.7191
2.0407,3.7653,4.5908,2.2725,1.4594
-0.9504,-3.7704,5.2989,2.1674,1.4889
1.8975,2.1647,1.6387,3.4823,5.3769
-1.427,-2.6308,3.6688,4.3424,6.5736
3.3645,2.644,-4.4574,2.8359,5.5525
2.1422,1.0898,1.3013,1.8067,1.3157
-1.3755,-3.5226,4.7571,4.4521,5.797
-1.8457,-4.3417,2.1019,1.868,3.0386
0.0442,0.9431,2.2388,2.0787,1.9446
2.2451,2.7499,0.5337,4.2949,5.7424
2.6929,3.8874,4.7204,2.7569,4.2984
-0.0548,1.7903,1.99,3.1269,3.1388
0.2142,0.0769,4.5067,3.8405,6.3477
1.2044,1.5889,4.0835,2.5266,1.0803
-5.082,-6.9537,-1.4831,2.9788,4.8619
-0.4238,-2.0349,-1.8837,3.5226,6.1021
0.6364,-1.8365,-1.5154,1.6281,0.0636
3.3652,5.3644,4.2739,2.5832,2.7899
1.6775,4.3496,-0.6792,4.3826,6.2082
-1.3983,-4.4724,-1.6355,2.4568,3.9352
3.792,7.1285,-4.9751,2.6068,3.8837
1.6886,2.8122,2.6547,3.9649,5.6515
2.8054,3.5955,-0.1085,2.5297,4.5589
0.1419,0.2537,2.8244,3.082,3.5065
-1.0762,-0.3728,9.0673,3.7353,4.7992
1.8512,3.0562,7.6937,4.9545,6.2137
0.101,-2.594,-2.7557,2.7994,4.3497
2.3362,2.0304,8.5055,2.8049,3.6135
-2.3508,-0.9945,0.5467,3.3356,4.6193
1.1642,3.747,0.6197,1.9434,1.6645
3.0081,4.1144,2.9509,3.1044,3.1373
1.6606,1.2933,2.3919,4.308,6.8251
3.2546,4.421,-1.4807,4.0045,6.0191
-2.1564,-3.0303,-2.581,2.6885,3.688
-0.8022,-2.0237,5.2965,3.3214,3.8177
0.716,2.1746,4.49,3.2101,4.9172
3.1278,2.0929,1.1601,3.5198,5.0936
4.4857,5.3779,7.3807,3.3593,3.6123
4.1009,4.607,-3.0108,3.5673,5.9973
2.6366,3.3407,5.4196,2.5233,4.0279
2.817,2.9855,2.0549,3.8597,5.6027
-1.9099,-2.9322,-2.9375,3.0364,4.0457
-0.9046,-0.9733,2.9191,2.15,1.971
-1.1074,-0.1942,-0.4777,3.309,5.3318
6.016,12.2432,6.1784,3.385,4.2163
3.1477,2.065,3.4039,0.2314,-1.1678
-1.505,-0.3101,2.364,2.3878,3.9587
-0.7484,-1.9782,3.0215,2.6091,3.8199
2.012,0.6344,2.4152,3.6125,6.4878
-0.6652,1.3938,-2.7154,2.2202,3.2959
-5.8478,-7.4678,3.5852,3.0797,3.807
4.2952,5.1586,5.4423,3.2815,2.4971
1.2111,-0.0967,4.5036,4.0807,5.5779
2.2625,3.3092,3.4246,3.4424,4.9087
1.4431,-0.4806,0.5439,2.9754,2.8627
5.8709,5.2763,3.0302,3.426,3.8338
0.2909,-1.1193,2.8231,3.446,4.8062
-0.9783,-2.0712,3.6802,2.9313,2.5211
2.555,1.6902,0.6679,3.0868,2.891
0.305,1.7722,7.012,2.2278,3.4042
5.9187,7.8643,2.105,3.0597,3.9397
0.028,0.5771,-2.3884,3.062,4.7477
1.323,3.7803,4.4466,2.6178,2.4486
-1.6373,-5.178,1.2621,2.7556,2.8479
1.5372,0.5475,0.7419,0.3997,-0.9455
4.2799,4.7829,1.4994,3.8873,4.7568
-0.5011,-0.4169,-0.0864,1.0631,0.8157
0.4134,0.5682,4.0323,2.4045,3.2292
-0.1321,-2.1371,-2.4224,2.0109,2.1154
0.9685,1.2306,0.5261,2.7532,3.202
0.3927,1.6555,1.938,2.9216,4.5053
3.0477,2.5976,5.4799,2.5679,4.0451
4.3271,7.0313,4.4437,3.3921,3.4566
-0.509,-1.0933,2.3517,3.8292,5.6527
0.6045,-1.9645,6.3788,2.9566,1.9971
0.429,2.568,1.9473,3.432,4.6903
3.6221,6.2509,1.7328,3.0545,3.7128
1.7301,2.2305,0.085,3.7237,3.9086
0.2536,1.6868,-3.9143,1.5468,2.6723
1.5458,2.7091,-4.1299,3.8433,7.0065
1.2123,2.1079,1.7854,3.1714,4.2545
5.6727,5.8771,3.0054,3.3524,3.5851
-0.9642,-1.668,3.6669,4.3637,5.2513
